road_condition_score,traffic_score,weather_score,road_gradient,hauling_distance,truck_speed,shift,truck_id,loc_Front Kasovo,loc_Front Vatikan,loc_Front Wales,loc_Front Zambia
3.27,2.88,3.74,0.25,9.52,31.6,0,18,False,False,False,False
3.58,2.6,4.14,0.0,6.75,24.95,1,4,False,True,False,False
3.34,2.7,3.83,-0.02,4.71,27.95,0,11,True,False,False,False
3.58,2.6,4.14,0.0,6.08,30.83,1,17,False,True,False,False
3.58,2.6,4.14,0.0,4.69,23.02,1,2,False,True,False,False
3.27,2.88,3.74,0.25,4.08,24.21,0,16,False,False,False,False
3.58,2.6,4.14,0.0,6.42,30.04,0,9,False,True,False,False
3.34,2.7,3.83,-0.02,6.66,33.76,1,17,True,False,False,False
3.27,2.88,3.74,0.25,8.33,30.76,1,5,False,False,False,False
3.07,2.91,3.5,-0.01,6.83,32.69,0,7,False,False,True,False
3.58,2.6,4.14,0.0,6.25,32.99,1,7,False,True,False,False
3.07,2.91,3.5,-0.01,7.2,24.99,1,1,False,False,True,False
2.9,3.04,3.59,-0.41,11.85,37.3,1,18,False,False,False,True
3.34,2.7,3.83,-0.02,7.17,32.32,1,3,True,False,False,False
3.07,2.91,3.5,-0.01,4.05,25.08,0,11,False,False,True,False
2.9,3.04,3.59,-0.41,5.62,26.09,0,14,False,False,False,True
3.07,2.91,3.5,-0.01,5.92,26.36,1,4,False,False,True,False
3.58,2.6,4.14,0.0,6.03,28.93,0,1,False,True,False,False
3.58,2.6,4.14,0.0,9.28,31.35,0,18,False,True,False,False
3.27,2.88,3.74,0.25,5.6,29.46,1,4,False,False,False,False
3.27,2.88,3.74,0.25,9.06,29.25,1,13,False,False,False,False
3.58,2.6,4.14,0.0,4.18,27.36,0,14,False,True,False,False
3.27,2.88,3.74,0.25,5.73,30.59,0,5,False,False,False,False
3.27,2.88,3.74,0.25,5.98,25.43,0,4,False,False,False,False
2.9,3.04,3.59,-0.41,10.26,34.57,1,13,False,False,False,True
3.07,2.91,3.5,-0.01,5.27,26.12,1,14,False,False,True,False
3.07,2.91,3.5,-0.01,6.07,24.59,0,12,False,False,True,False
2.9,3.04,3.59,-0.41,5.52,27.54,0,0,False,False,False,True
3.27,2.88,3.74,0.25,6.31,31.22,1,17,False,False,False,False
3.58,2.6,4.14,0.0,6.96,32.43,0,5,False,True,False,False
3.07,2.91,3.5,-0.01,8.73,29.74,0,13,False,False,True,False
3.27,2.88,3.74,0.25,8.58,34.04,0,13,False,False,False,False
3.27,2.88,3.74,0.25,4.3,21.61,0,16,False,False,False,False
3.27,2.88,3.74,0.25,8.25,27.23,0,15,False,False,False,False
3.07,2.91,3.5,-0.01,8.27,26.9,1,5,False,False,True,False
3.34,2.7,3.83,-0.02,7.3,33.66,0,3,True,False,False,False
3.34,2.7,3.83,-0.02,4.26,27.7,0,11,True,False,False,False
3.07,2.91,3.5,-0.01,6.67,36.54,0,3,False,False,True,False
3.34,2.7,3.83,-0.02,8.02,31.56,1,8,True,False,False,False
3.07,2.91,3.5,-0.01,4.68,25.84,0,0,False,False,True,False
2.9,3.04,3.59,-0.41,6.96,33.59,0,5,False,False,False,True
3.58,2.6,4.14,0.0,5.42,23.81,0,7,False,True,False,False
3.27,2.88,3.74,0.25,6.72,26.21,0,1,False,False,False,False
3.07,2.91,3.5,-0.01,6.75,29.46,1,3,False,False,True,False
3.34,2.7,3.83,-0.02,4.72,29.24,0,9,True,False,False,False
2.9,3.04,3.59,-0.41,6.78,29.8,1,1,False,False,False,True
2.9,3.04,3.59,-0.41,6.96,29.48,1,1,False,False,False,True
3.07,2.91,3.5,-0.01,5.52,27.54,0,0,False,False,True,False
3.07,2.91,3.5,-0.01,7.82,34.68,1,18,False,False,True,False
2.9,3.04,3.59,-0.41,8.77,42.07,0,8,False,False,False,True
3.27,2.88,3.74,0.25,6.25,32.99,1,7,False,False,False,False
2.9,3.04,3.59,-0.41,4.25,25.44,1,11,False,False,False,True
2.9,3.04,3.59,-0.41,9.39,35.62,0,18,False,False,False,True
3.58,2.6,4.14,0.0,4.97,32.5,0,14,False,True,False,False
3.27,2.88,3.74,0.25,5.32,34.31,1,0,False,False,False,False
3.07,2.91,3.5,-0.01,8.63,35.31,0,8,False,False,True,False
3.07,2.91,3.5,-0.01,7.77,34.47,1,15,False,False,True,False
3.58,2.6,4.14,0.0,4.2,24.25,0,2,False,True,False,False
2.9,3.04,3.59,-0.41,4.93,25.5,1,6,False,False,False,True
3.34,2.7,3.83,-0.02,9.07,31.94,0,8,True,False,False,False
3.58,2.6,4.14,0.0,5.11,28.27,1,0,False,True,False,False
3.34,2.7,3.83,-0.02,5.1,26.82,0,0,True,False,False,False
2.9,3.04,3.59,-0.41,3.98,23.86,1,16,False,False,False,True
3.34,2.7,3.83,-0.02,9.38,39.58,0,18,True,False,False,False
3.27,2.88,3.74,0.25,6.31,24.55,0,12,False,False,False,False
3.27,2.88,3.74,0.25,8.77,34.48,1,15,False,False,False,False
3.58,2.6,4.14,0.0,6.44,31.61,0,7,False,True,False,False
3.07,2.91,3.5,-0.01,3.95,23.72,1,2,False,False,True,False
3.07,2.91,3.5,-0.01,4.12,25.12,1,11,False,False,True,False
2.9,3.04,3.59,-0.41,4.04,24.78,1,2,False,False,False,True
3.58,2.6,4.14,0.0,8.9,31.35,1,18,False,True,False,False
3.34,2.7,3.83,-0.02,8.6,36.24,0,13,True,False,False,False
2.9,3.04,3.59,-0.41,6.0,27.09,1,9,False,False,False,True
3.07,2.91,3.5,-0.01,9.15,28.46,1,13,False,False,True,False
3.27,2.88,3.74,0.25,5.48,27.41,1,19,False,False,False,False
3.34,2.7,3.83,-0.02,3.78,24.65,0,11,True,False,False,False
3.07,2.91,3.5,-0.01,7.27,26.32,1,10,False,False,True,False
3.27,2.88,3.74,0.25,7.27,26.32,1,10,False,False,False,False
3.58,2.6,4.14,0.0,8.87,29.45,1,15,False,True,False,False
3.07,2.91,3.5,-0.01,8.02,35.98,0,13,False,False,True,False
3.07,2.91,3.5,-0.01,7.25,28.84,0,10,False,False,True,False
3.34,2.7,3.83,-0.02,7.25,31.89,0,13,True,False,False,False
3.07,2.91,3.5,-0.01,5.89,24.34,0,4,False,False,True,False
3.07,2.91,3.5,-0.01,5.27,27.3,1,9,False,False,True,False
3.58,2.6,4.14,0.0,5.64,29.41,1,12,False,True,False,False
3.27,2.88,3.74,0.25,5.9,29.08,1,12,False,False,False,False
3.58,2.6,4.14,0.0,8.22,33.21,1,5,False,True,False,False
3.58,2.6,4.14,0.0,5.02,30.27,1,0,False,True,False,False
3.58,2.6,4.14,0.0,6.31,25.33,1,12,False,True,False,False
3.34,2.7,3.83,-0.02,7.33,35.77,1,3,True,False,False,False
3.07,2.91,3.5,-0.01,5.21,30.64,0,4,False,False,True,False
3.34,2.7,3.83,-0.02,6.57,36.8,0,10,True,False,False,False
2.9,3.04,3.59,-0.41,7.63,36.89,1,15,False,False,False,True
3.58,2.6,4.14,0.0,8.42,27.92,0,5,False,True,False,False
3.07,2.91,3.5,-0.01,4.11,28.75,0,2,False,False,True,False
2.9,3.04,3.59,-0.41,10.01,34.43,1,8,False,False,False,True
3.58,2.6,4.14,0.0,6.61,31.66,1,17,False,True,False,False
3.34,2.7,3.83,-0.02,7.18,29.49,0,3,True,False,False,False
3.34,2.7,3.83,-0.02,6.37,32.43,1,3,True,False,False,False
2.9,3.04,3.59,-0.41,4.53,30.51,1,2,False,False,False,True
3.58,2.6,4.14,0.0,8.52,34.76,1,18,False,True,False,False
3.58,2.6,4.14,0.0,6.64,31.35,0,7,False,True,False,False
3.27,2.88,3.74,0.25,7.55,30.6,0,5,False,False,False,False
3.34,2.7,3.83,-0.02,5.12,27.42,1,19,True,False,False,False
3.34,2.7,3.83,-0.02,7.16,35.18,1,15,True,False,False,False
3.58,2.6,4.14,0.0,6.54,25.95,0,7,False,True,False,False
2.9,3.04,3.59,-0.41,4.26,25.28,1,11,False,False,False,True
3.07,2.91,3.5,-0.01,6.21,29.98,1,7,False,False,True,False
2.9,3.04,3.59,-0.41,5.73,32.73,0,12,False,False,False,True
2.9,3.04,3.59,-0.41,8.28,33.52,0,15,False,False,False,True
3.07,2.91,3.5,-0.01,10.31,32.89,0,8,False,False,True,False
2.9,3.04,3.59,-0.41,5.58,25.68,1,12,False,False,False,True
3.34,2.7,3.83,-0.02,4.05,26.93,1,11,True,False,False,False
3.34,2.7,3.83,-0.02,4.35,22.64,1,2,True,False,False,False
3.34,2.7,3.83,-0.02,5.99,28.28,1,12,True,False,False,False
3.27,2.88,3.74,0.25,3.95,25.72,0,16,False,False,False,False
2.9,3.04,3.59,-0.41,6.0,28.76,1,9,False,False,False,True
3.34,2.7,3.83,-0.02,8.72,34.31,0,8,True,False,False,False
3.58,2.6,4.14,0.0,5.27,26.65,0,14,False,True,False,False
3.34,2.7,3.83,-0.02,6.67,28.14,0,12,True,False,False,False
3.34,2.7,3.83,-0.02,4.01,24.48,0,16,True,False,False,False
2.9,3.04,3.59,-0.41,8.64,39.18,0,8,False,False,False,True
3.34,2.7,3.83,-0.02,5.66,30.39,0,1,True,False,False,False
3.27,2.88,3.74,0.25,4.88,25.92,0,6,False,False,False,False
2.9,3.04,3.59,-0.41,7.59,30.49,1,7,False,False,False,True
3.07,2.91,3.5,-0.01,4.85,27.38,1,2,False,False,True,False
3.34,2.7,3.83,-0.02,9.95,30.99,1,18,True,False,False,False
3.34,2.7,3.83,-0.02,9.59,36.66,0,8,True,False,False,False
3.34,2.7,3.83,-0.02,5.26,22.28,0,0,True,False,False,False
3.34,2.7,3.83,-0.02,6.03,29.67,0,4,True,False,False,False
2.9,3.04,3.59,-0.41,9.02,36.52,0,13,False,False,False,True
3.07,2.91,3.5,-0.01,8.95,30.77,0,8,False,False,True,False
2.9,3.04,3.59,-0.41,7.27,26.74,0,1,False,False,False,True
3.27,2.88,3.74,0.25,5.86,29.07,1,1,False,False,False,False
3.58,2.6,4.14,0.0,6.5,33.48,0,3,False,True,False,False
3.27,2.88,3.74,0.25,6.66,27.92,1,7,False,False,False,False
3.34,2.7,3.83,-0.02,10.85,31.04,1,18,True,False,False,False
3.27,2.88,3.74,0.25,4.69,27.53,1,0,False,False,False,False
3.58,2.6,4.14,0.0,6.48,29.77,1,17,False,True,False,False
3.34,2.7,3.83,-0.02,5.9,27.47,1,17,True,False,False,False
3.07,2.91,3.5,-0.01,8.16,30.87,0,8,False,False,True,False
3.07,2.91,3.5,-0.01,6.47,24.73,0,9,False,False,True,False
3.07,2.91,3.5,-0.01,6.4,30.7,0,7,False,False,True,False
3.58,2.6,4.14,0.0,6.7,30.64,0,17,False,True,False,False
3.27,2.88,3.74,0.25,5.08,33.63,0,9,False,False,False,False
3.07,2.91,3.5,-0.01,9.34,31.48,0,18,False,False,True,False
2.9,3.04,3.59,-0.41,7.51,29.58,1,3,False,False,False,True
3.27,2.88,3.74,0.25,8.13,36.89,0,13,False,False,False,False
2.9,3.04,3.59,-0.41,8.1,32.33,1,8,False,False,False,True
3.27,2.88,3.74,0.25,5.08,21.97,1,6,False,False,False,False
3.27,2.88,3.74,0.25,7.42,26.45,0,10,False,False,False,False
2.9,3.04,3.59,-0.41,5.0,23.83,1,14,False,False,False,True
2.9,3.04,3.59,-0.41,6.94,30.29,0,1,False,False,False,True
3.34,2.7,3.83,-0.02,3.86,25.15,1,11,True,False,False,False
2.9,3.04,3.59,-0.41,8.78,36.66,0,3,False,False,False,True
3.07,2.91,3.5,-0.01,9.73,29.54,1,18,False,False,True,False
2.9,3.04,3.59,-0.41,8.68,31.06,0,8,False,False,False,True
3.58,2.6,4.14,0.0,5.82,25.48,1,12,False,True,False,False
3.34,2.7,3.83,-0.02,4.7,27.79,1,14,True,False,False,False
3.34,2.7,3.83,-0.02,4.35,25.29,1,11,True,False,False,False
3.58,2.6,4.14,0.0,4.97,31.93,0,9,False,True,False,False
3.07,2.91,3.5,-0.01,5.09,29.68,1,19,False,False,True,False
3.27,2.88,3.74,0.25,5.83,27.58,1,4,False,False,False,False
3.27,2.88,3.74,0.25,4.8,30.35,1,19,False,False,False,False
3.27,2.88,3.74,0.25,8.62,29.48,1,8,False,False,False,False
2.9,3.04,3.59,-0.41,5.66,27.36,0,19,False,False,False,True
3.58,2.6,4.14,0.0,4.47,21.01,0,16,False,True,False,False
3.58,2.6,4.14,0.0,5.76,25.49,1,12,False,True,False,False
3.27,2.88,3.74,0.25,6.03,26.71,1,7,False,False,False,False
3.58,2.6,4.14,0.0,4.63,25.78,1,2,False,True,False,False
3.07,2.91,3.5,-0.01,5.58,27.32,1,12,False,False,True,False
2.9,3.04,3.59,-0.41,7.0,30.05,1,7,False,False,False,True
2.9,3.04,3.59,-0.41,8.05,28.8,1,3,False,False,False,True
3.27,2.88,3.74,0.25,4.93,25.98,0,6,False,False,False,False
2.9,3.04,3.59,-0.41,7.06,28.76,0,17,False,False,False,True
3.07,2.91,3.5,-0.01,6.54,32.17,0,12,False,False,True,False
2.9,3.04,3.59,-0.41,4.48,25.35,0,2,False,False,False,True
3.58,2.6,4.14,0.0,5.97,33.27,0,17,False,True,False,False
3.07,2.91,3.5,-0.01,5.78,30.73,1,17,False,False,True,False
3.27,2.88,3.74,0.25,5.86,30.68,0,4,False,False,False,False
3.58,2.6,4.14,0.0,6.82,34.01,0,1,False,True,False,False
3.27,2.88,3.74,0.25,4.2,24.25,1,2,False,False,False,False
3.07,2.91,3.5,-0.01,8.73,30.12,1,5,False,False,True,False
2.9,3.04,3.59,-0.41,6.56,32.98,0,3,False,False,False,True
2.9,3.04,3.59,-0.41,3.64,22.93,1,16,False,False,False,True
2.9,3.04,3.59,-0.41,4.11,24.11,0,16,False,False,False,True
2.9,3.04,3.59,-0.41,4.3,22.37,0,16,False,False,False,True
3.58,2.6,4.14,0.0,4.32,20.78,1,2,False,True,False,False
3.58,2.6,4.14,0.0,7.8,31.36,1,18,False,True,False,False
3.34,2.7,3.83,-0.02,6.0,24.69,1,0,True,False,False,False
3.58,2.6,4.14,0.0,9.74,32.28,0,13,False,True,False,False
2.9,3.04,3.59,-0.41,7.62,30.9,1,3,False,False,False,True
2.9,3.04,3.59,-0.41,6.41,28.68,1,3,False,False,False,True
3.27,2.88,3.74,0.25,5.04,26.36,0,2,False,False,False,False
3.58,2.6,4.14,0.0,3.71,21.63,1,16,False,True,False,False
3.58,2.6,4.14,0.0,8.04,30.31,0,18,False,True,False,False
3.58,2.6,4.14,0.0,6.05,25.35,1,17,False,True,False,False
3.07,2.91,3.5,-0.01,5.62,32.03,1,17,False,False,True,False
3.58,2.6,4.14,0.0,6.44,27.94,1,7,False,True,False,False
3.07,2.91,3.5,-0.01,6.96,33.59,0,5,False,False,True,False
3.07,2.91,3.5,-0.01,7.27,26.74,1,1,False,False,True,False
